order_item_id,order_id,product_id,quantity,unit_price,discount
1,1190,249,3,88911.43,20
2,1713,165,4,10112.77,10
3,4625,365,1,82507.03,5
4,2556,390,5,12679.01,20
5,197,479,2,82332.73,0
6,813,340,1,25986.26,20
7,3917,190,4,56206.13,0
8,278,43,3,22155.45,5
9,702,219,2,79741.83,0
10,4153,256,1,86266.14,10
11,4699,407,4,71104.98,10
12,3405,368,4,32654.55,0
13,2745,403,4,70845.09,10
14,4706,192,2,67028.41,0
15,1041,33,2,2708.69,15
16,4936,23,4,21421.83,10
17,3160,478,1,8349.42,10
18,816,326,3,59243.36,10
19,4874,122,2,12867.37,10
20,3025,208,3,3039.87,15
21,100,461,3,79913.8,0
22,318,268,4,36444.01,10
23,1743,361,1,18909.29,0
24,1404,411,3,87164.58,0
25,2817,498,4,54646.42,0
26,4622,111,3,61428.68,20
27,4454,63,5,12745.98,5
28,4971,270,5,52930.65,20
29,4062,51,3,33020.74,20
30,2390,156,5,49405.27,10
31,2114,232,4,36778.38,15
32,3352,297,2,25318.46,20
33,1280,335,2,16160.61,10
34,1627,136,4,86485.41,10
35,4296,484,1,13090.84,15
36,2739,123,5,51121.08,15
37,281,353,1,66462.55,0
38,2078,273,2,57027.16,10
39,782,70,5,94192.47,10
40,1805,100,2,84046.54,5
41,2337,393,3,53047.76,5
42,1302,197,1,60385.48,10
43,822,309,4,75946.88,5
44,298,125,2,92244.48,5
45,4706,89,2,46320.57,20
46,4686,290,1,60426.67,10
47,1068,348,2,75823.1,0
48,1103,371,4,86215.03,20
49,4841,21,4,50075.97,10
50,7,117,4,49282.23,0
51,195,3,5,93044.25,20
52,4148,380,5,69638.57,0
53,2686,141,5,87322.07,0
54,3099,60,5,52323.31,10
55,3510,14,2,52034.34,0
56,4147,272,3,58039.55,15
57,366,244,1,53496.89,20
58,4416,70,2,47846.14,0
59,4063,315,4,27736.69,5
60,3637,113,4,61855.06,0
61,3536,387,4,24732.5,0
62,4744,375,5,1100.27,10
63,3558,143,1,75756.96,5
64,3941,9,1,10902.72,5
65,3137,36,1,52176.81,10
66,602,2,4,69848.06,20
67,2672,130,2,83377.39,20
68,655,417,1,59372.76,0
69,4613,416,1,75976.99,0
70,2693,374,4,8124.32,20
71,4554,151,5,39798.95,15
72,4795,131,2,94966.43,5
73,4894,329,2,78770.84,20
74,2290,55,3,19719.67,0
75,2987,488,2,76586.27,5
76,666,186,5,11532.03,0
77,3587,476,5,80291.44,0
78,3221,401,3,52761.65,10
79,4456,41,4,40300.06,0
80,3926,246,2,10279.79,10
81,1320,426,5,28588.28,10
82,3551,109,4,3958.95,20
83,489,44,4,63450.01,15
84,3822,335,2,73723.15,0
85,2002,124,1,11281.71,10
86,3368,19,2,84414.73,10
87,3974,337,1,12266.32,0
88,1045,371,3,88749.41,15
89,2574,114,3,59660.04,20
90,160,459,5,23469.88,0
91,3799,369,4,40216.99,5
92,1707,404,1,26428.69,15
93,380,117,2,37900.12,15
94,2173,342,3,93187.0,5
95,4265,135,3,35872.38,20
96,2620,439,3,41311.54,5
97,337,62,1,2042.6,10
98,3670,462,4,46516.86,0
99,1290,22,4,53158.89,5
100,1073,356,2,79947.53,20
101,792,369,4,6344.74,10
102,694,27,3,5317.88,10
103,4608,243,5,60783.06,5
104,3516,366,3,15201.65,15
105,1804,117,1,77560.65,15
106,2875,348,3,59264.82,20
107,70,191,2,76711.26,5
108,3128,38,3,7028.98,5
109,4213,275,3,40792.6,5
110,1039,321,3,54603.7,0
111,3306,130,2,96316.78,10
112,3134,281,1,86993.82,5
113,1926,413,1,9601.66,15
114,283,59,1,37099.04,5
115,4440,386,4,33419.84,20
116,1517,421,3,60243.04,0
117,1839,171,2,82636.39,5
118,4667,362,5,34842.03,5
119,4824,206,5,32844.44,15
120,1064,224,2,53739.31,10
121,170,310,2,58045.73,0
122,413,443,4,61670.37,15
123,2518,81,5,59902.56,20
124,4583,423,1,98378.61,5
125,2165,186,3,14988.28,15
